taxminalogy,cokey,cotaxfmminkey
mixed,17501924,13769570
mixed,17501925,13769571
smectitic,17501926,13769572
mixed,17501928,13769573
mixed,17501929,13769574
smectitic,17502039,13769663
mixed,17502040,13769664
mixed,17502041,13769665
smectitic,17502042,13769666
mixed,17502043,13769667
mixed,17502050,13769673
smectitic,17502051,13769674
