soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,0,15,30,Moist,183682927,113926187
0,15,30,200,200,200,Wet,183682927,113926188
0,15,30,200,200,200,Wet,183682928,113926189
0,0,0,0,15,30,Moist,183682928,113926190
0,0,0,0,15,30,Moist,183682931,113926191
0,15,30,200,200,200,Wet,183682931,113926192
0,0,0,0,15,30,Moist,183682932,113926193
0,15,30,200,200,200,Wet,183682932,113926194
0,15,30,200,200,200,Wet,183682935,113926195
0,0,0,0,15,30,Moist,183682935,113926196
0,0,0,30,46,61,Moist,183682936,113926197
30,46,61,200,200,200,Wet,183682936,113926198
0,0,0,30,46,61,Moist,183682939,113926199
30,46,61,200,200,200,Wet,183682939,113926200
0,0,0,30,46,61,Moist,183682940,113926201
30,46,61,200,200,200,Wet,183682940,113926202
0,0,0,30,46,61,Moist,183682943,113926203
30,46,61,200,200,200,Wet,183682943,113926204
0,0,0,30,46,61,Moist,183682944,113926205
30,46,61,200,200,200,Wet,183682944,113926206
0,15,30,200,200,200,Wet,183682949,113926207
0,0,0,0,15,30,Moist,183682949,113926208
0,15,30,200,200,200,Wet,183682950,113926209
0,0,0,0,15,30,Moist,183682950,113926210
0,0,0,0,15,30,Moist,183682954,113926211
0,15,30,200,200,200,Wet,183682954,113926212
0,15,30,200,200,200,Wet,183682958,113926213
0,0,0,0,15,30,Moist,183682958,113926214
0,0,0,0,15,30,Moist,183682959,113926215
0,15,30,200,200,200,Wet,183682959,113926216
0,15,30,200,200,200,Wet,183682961,113926217
0,0,0,0,15,30,Moist,183682961,113926218
0,15,30,200,200,200,Wet,183682962,113926219
0,0,0,0,15,30,Moist,183682962,113926220
0,0,0,0,15,30,Moist,183682963,113926221
0,15,30,200,200,200,Wet,183682963,113926222
0,0,0,0,15,30,Moist,183682968,113926223
0,15,30,200,200,200,Wet,183682968,113926224
0,0,0,0,15,30,Moist,183682969,113926225
0,15,30,200,200,200,Wet,183682969,113926226
0,0,0,122,153,183,Moist,183682972,113926227
122,153,183,200,200,200,Wet,183682972,113926228
0,0,0,122,153,183,Moist,183682975,113926229
122,153,183,200,200,200,Wet,183682975,113926230
0,0,0,122,153,183,Moist,183682979,113926231
122,153,183,200,200,200,Wet,183682979,113926232
0,0,0,0,15,30,Moist,183682986,113926233
0,15,30,200,200,200,Wet,183682986,113926234
0,0,0,0,15,30,Moist,183682987,113926235
0,15,30,200,200,200,Wet,183682987,113926236
0,0,0,0,15,30,Moist,183682989,113926237
0,15,30,200,200,200,Wet,183682989,113926238
0,15,30,200,200,200,Wet,183682992,113926239
0,0,0,0,15,30,Moist,183682992,113926240
0,15,30,200,200,200,Wet,183682993,113926241
0,0,0,0,15,30,Moist,183682993,113926242
0,0,0,0,15,30,Moist,183684278,113927029
0,15,30,200,200,200,Wet,183684278,113927030
0,15,30,200,200,200,Wet,183684280,113927031
0,0,0,0,15,30,Moist,183684280,113927032
0,15,30,200,200,200,Wet,183684283,113927033
0,0,0,0,15,30,Moist,183684283,113927034
0,0,0,0,15,30,Moist,183684285,113927035
0,15,30,200,200,200,Wet,183684285,113927036
0,15,30,200,200,200,Wet,183684287,113927037
0,0,0,0,15,30,Moist,183684287,113927038
0,0,0,122,153,183,Moist,183684290,113927039
122,153,183,200,200,200,Wet,183684290,113927040
0,0,0,122,153,183,Moist,183684293,113927041
122,153,183,200,200,200,Wet,183684293,113927042
0,0,0,122,153,183,Moist,183684297,113927043
122,153,183,200,200,200,Wet,183684297,113927044
0,0,0,0,15,30,Moist,183684304,113927045
0,15,30,200,200,200,Wet,183684304,113927046
0,0,0,0,15,30,Moist,183684305,113927047
0,15,30,200,200,200,Wet,183684305,113927048
0,0,0,0,15,30,Moist,183684307,113927049
0,15,30,200,200,200,Wet,183684307,113927050
0,15,30,200,200,200,Wet,183684310,113927051
