unifiedcl,rvindicator,chkey,chunifiedkey
CL,No ,51132049,96043885
MH,Yes,51132049,96043886
ML,No ,51132049,96043887
CL,Yes,51132050,96043888
SC,No ,51132051,96043889
CL,Yes,51132051,96043890
CL,Yes,51132052,96043891
CL-ML,No ,51132052,96043892
SC-SM,No ,51132052,96043893
SC,No ,51132052,96043894
ML,Yes,51132053,96043895
CL,No ,51132053,96043896
OH,No ,51132053,96043897
CL,Yes,51132054,96043898
CH,No ,51132054,96043899
CL,Yes,51132055,96043900
CL,Yes,51132056,96043901
CL,Yes,51132057,96043902
CL-ML,No ,51132057,96043903
CL,Yes,51132058,96043904
CL,Yes,51132059,96043905
CL,No ,51132060,96043906
CH,Yes,51132060,96043907
CL,Yes,51132061,96043908
CL,No ,51132062,96043909
ML,Yes,51132062,96043910
CL,Yes,51132063,96043911
CL,Yes,51132064,96043912
CL,Yes,51132065,96043913
MH,Yes,51132066,96043914
ML,No ,51132066,96043915
CL,Yes,51132067,96043916
CL,Yes,51132068,96043917
CL,Yes,51132385,96044426
CL,Yes,51132386,96044427
CL,No ,51132387,96044428
CH,Yes,51132387,96044429
CL,Yes,51132388,96044430
ML,Yes,51132389,96044431
CL,No ,51132389,96044432
CL,Yes,51132390,96044433
CL,Yes,51132391,96044434
CL,Yes,51132392,96044435
MH,Yes,51132393,96044436
ML,No ,51132393,96044437
CL,Yes,51132394,96044438
CL,Yes,51132395,96044439
CH,No ,51132396,96044440
CL,Yes,51132396,96044441
CL,Yes,51132397,96044442
ML,Yes,51132398,96044443
CL,Yes,51132399,96044444
CL,Yes,51132400,96044445
CH,No ,51132400,96044446
CL,No ,51132401,96044447
ML,Yes,51132401,96044448
OH,No ,51132401,96044449
CL-ML,No ,51132402,96044450
CL,Yes,51132402,96044451
CH,No ,51132403,96044452
CL,Yes,51132403,96044453
CL,Yes,51132404,96044454
CL,Yes,51132405,96044455
CL,Yes,51132427,96044485
MH,Yes,51132428,96044486
ML,No ,51132428,96044487
CL,Yes,51132429,96044488
CL,Yes,51132430,96044489
CL,Yes,51132431,96044490
CL,Yes,51132432,96044491
CH,No ,51132432,96044492
CH,No ,51132433,96044493
CL,Yes,51132433,96044494
CL,Yes,51132434,96044495
ML,Yes,51132435,96044496
