taxmoistcl,cokey,cotaxmckey
Aquic,17501924,6570897
Udic,17501925,6570894
Aquic,17501926,6570896
Udic,17501928,6570895
Aquic,17501929,6570866
Aquic,17502039,6570850
Udic,17502040,6570877
Aquic,17502041,6570849
Udic,17502042,6570851
Udic,17502043,6570852
Aquic,17502050,6570886
Udic,17502051,6570889
