hillslopeprof,cogeomdkey,cosurfmorhppkey
Summit,26530187,10971424
Summit,26530189,10971425
Summit,26530243,10971371
Backslope,26530243,10971372
Shoulder,26530243,10971373
Summit,26530263,10971391
Shoulder,26530263,10971392
Summit,26530265,10971393
Footslope,26530267,10971394
Summit,26530275,10971398
Summit,26530291,10971402
Shoulder,26530293,10971403
Summit,26530293,10971404
Toeslope,26530298,10971407
