erokind,rvindicator,cokey,coeroacckey
Sheet erosion,Yes,17501925,1176310
Sheet erosion,Yes,17501928,1176311
Sheet erosion,Yes,17502040,1176350
Sheet erosion,Yes,17502042,1176325
Sheet erosion,Yes,17502043,1176326
Sheet erosion,Yes,17502051,1176337
