musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
51A,"Muscatune silt loam, 0 to 2 percent slopes",Consociation,NA,70269,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11412,244911
68A,"Sable silty clay loam, 0 to 2 percent slopes",Consociation,NA,41208,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11412,244915
86B,"Osco silt loam, 2 to 5 percent slopes",Consociation,NA,58788,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11412,244917
