taxfamother,cokey,cotaxfokey
not used,17501924,12214221
not used,17501925,12214222
not used,17501926,12214223
not used,17501928,12214224
not used,17501929,12214225
not used,17502039,12214310
not used,17502040,12214311
not used,17502041,12214312
not used,17502042,12214313
not used,17502043,12214314
not used,17502050,12214320
not used,17502051,12214321
