texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,51132049,102168035
SICL,No ,Yes,Silty clay loam,51132050,102168036
SIL,No ,No ,Silt loam,51132050,102168037
L,No ,Yes,Loam,51132051,102168038
SL,No ,No ,Sandy loam,51132051,102168039
CL,No ,No ,Clay loam,51132051,102168040
SIL,No ,No ,Silt loam,51132051,102168041
SR- SL CL,Yes,Yes,Stratified sandy loam to clay loam,51132052,102168042
SIL,No ,Yes,Silt loam,51132053,102168043
SICL,No ,No ,Silty clay loam,51132053,102168044
SICL,No ,Yes,Silty clay loam,51132054,102168045
SIL,No ,No ,Silt loam,51132054,102168046
SICL,No ,Yes,Silty clay loam,51132055,102168047
SIL,No ,No ,Silt loam,51132055,102168048
SIL,No ,No ,Silt loam,51132056,102168049
SICL,No ,Yes,Silty clay loam,51132056,102168050
SIL,No ,Yes,Silt loam,51132057,102168051
SICL,No ,No ,Silty clay loam,51132057,102168052
SIL,No ,Yes,Silt loam,51132058,102168053
SIL,No ,Yes,Silt loam,51132059,102168054
SICL,No ,Yes,Silty clay loam,51132060,102168055
SIC,No ,No ,Silty clay,51132060,102168056
SIL,No ,No ,Silt loam,51132061,102168057
SICL,No ,Yes,Silty clay loam,51132061,102168058
SIL,No ,Yes,Silt loam,51132062,102168059
SICL,No ,Yes,Silty clay loam,51132063,102168060
SIL,No ,No ,Silt loam,51132063,102168061
SIL,No ,Yes,Silt loam,51132064,102168062
SICL,No ,No ,Silty clay loam,51132064,102168063
SIL,No ,Yes,Silt loam,51132065,102168064
SICL,No ,No ,Silty clay loam,51132065,102168065
SICL,No ,Yes,Silty clay loam,51132066,102168066
SICL,No ,Yes,Silty clay loam,51132067,102168067
SIL,No ,Yes,Silt loam,51132068,102168068
SIL,No ,Yes,Silt loam,51132427,102168684
SICL,No ,No ,Silty clay loam,51132427,102168685
SICL,No ,Yes,Silty clay loam,51132428,102168686
SICL,No ,Yes,Silty clay loam,51132429,102168687
SIL,No ,Yes,Silt loam,51132430,102168688
SICL,No ,Yes,Silty clay loam,51132431,102168689
SICL,No ,Yes,Silty clay loam,51132432,102168690
SIC,No ,No ,Silty clay,51132432,102168691
SICL,No ,Yes,Silty clay loam,51132433,102168692
SIL,No ,Yes,Silt loam,51132434,102168693
SIL,No ,Yes,Silt loam,51132435,102168694
SIL,No ,Yes,Silt loam,51132385,102168620
SIL,No ,Yes,Silt loam,51132386,102168621
SICL,No ,Yes,Silty clay loam,51132387,102168622
SIC,No ,No ,Silty clay,51132387,102168623
SIL,No ,No ,Silt loam,51132388,102168624
SICL,No ,Yes,Silty clay loam,51132388,102168625
SIL,No ,Yes,Silt loam,51132389,102168626
SICL,No ,Yes,Silty clay loam,51132390,102168627
SIL,No ,No ,Silt loam,51132390,102168628
SIL,No ,Yes,Silt loam,51132391,102168629
SICL,No ,No ,Silty clay loam,51132391,102168630
SIL,No ,Yes,Silt loam,51132392,102168631
SICL,No ,No ,Silty clay loam,51132392,102168632
SICL,No ,Yes,Silty clay loam,51132393,102168633
SICL,No ,Yes,Silty clay loam,51132394,102168634
SIL,No ,Yes,Silt loam,51132395,102168635
SICL,No ,Yes,Silty clay loam,51132396,102168636
SIL,No ,Yes,Silt loam,51132397,102168637
SIL,No ,Yes,Silt loam,51132398,102168638
SICL,No ,Yes,Silty clay loam,51132399,102168639
SICL,No ,Yes,Silty clay loam,51132400,102168640
SIC,No ,No ,Silty clay,51132400,102168641
SIL,No ,Yes,Silt loam,51132401,102168642
SICL,No ,No ,Silty clay loam,51132401,102168643
SIL,No ,Yes,Silt loam,51132402,102168644
SICL,No ,No ,Silty clay loam,51132402,102168645
SICL,No ,Yes,Silty clay loam,51132403,102168646
SIL,No ,No ,Silt loam,51132403,102168647
SICL,No ,Yes,Silty clay loam,51132404,102168648
SIL,No ,No ,Silt loam,51132404,102168649
SIL,No ,No ,Silt loam,51132405,102168650
SICL,No ,Yes,Silty clay loam,51132405,102168651
