areaovacres,lareaovkey,mukey,muareaovkey
70269,400095,244911,23716835
70269,400096,244911,23716830
62921,400097,244911,23716831
7348,400098,244911,23716832
70269,400099,244911,23716833
70269,400100,244911,23716834
41208,400095,244915,23716700
41208,400096,244915,23716695
37923,400097,244915,23716696
3285,400098,244915,23716697
41208,400099,244915,23716698
41208,400100,244915,23716699
58788,400095,244917,23716640
58788,400096,244917,23716635
53717,400097,244917,23716636
5071,400098,244917,23716637
58788,400099,244917,23716638
58788,400100,244917,23716639
