texcl,lieutex,chtgkey,chtkey
Silty clay loam,,102168035,103924497
Silty clay loam,,102168036,103924742
Silt loam,,102168037,103924498
Loam,,102168038,103924929
Sandy loam,,102168039,103924930
Clay loam,,102168040,103924931
Silt loam,,102168041,103924932
Silt loam,,102168064,103923978
Silty clay loam,,102168065,103923979
Silty clay loam,,102168066,103924410
Silty clay loam,,102168067,103923976
Silt loam,,102168068,103923977
Sandy loam,,102168042,103924690
Clay loam,,102168042,103924691
Silty clay loam,,102168045,103924494
Silt loam,,102168046,103924546
Silt loam,,102168057,103924550
Silty clay loam,,102168058,103924741
Silty clay loam,,102168060,103924928
Silt loam,,102168061,103924495
Silt loam,,102168049,103924493
Silty clay loam,,102168050,103924738
Silt loam,,102168051,103924743
Silty clay loam,,102168052,103924551
Silt loam,,102168053,103924740
Silt loam,,102168054,103924547
Silty clay loam,,102168627,103924130
Silt loam,,102168628,103924424
Silt loam,,102168629,103924131
Silty clay loam,,102168630,103924425
Silt loam,,102168631,103923749
Silty clay loam,,102168632,103923750
Silty clay loam,,102168633,103923605
Silty clay loam,,102168634,103924203
Silt loam,,102168684,103924134
Silty clay loam,,102168685,103924429
Silt loam,,102168043,103924926
Silty clay loam,,102168044,103924499
Silty clay loam,,102168047,103924737
Silt loam,,102168048,103924744
Silty clay loam,,102168055,103924548
Silty clay,,102168056,103924549
Silt loam,,102168059,103924927
Silt loam,,102168062,103924739
Silty clay loam,,102168063,103924496
Silty clay loam,,102168622,103923606
Silty clay,,102168623,103924205
Silt loam,,102168626,103924423
Silty clay loam,,102168636,103924206
Silt loam,,102168638,103924601
Silty clay loam,,102168646,103923754
Silt loam,,102168647,103923755
Silt loam,,102168650,103923612
Silty clay loam,,102168651,103924209
Silt loam,,102168621,103924204
Silt loam,,102168624,103923607
Silty clay loam,,102168625,103924600
Silt loam,,102168635,103923748
Silt loam,,102168637,103923609
Silty clay loam,,102168648,103923611
Silt loam,,102168649,103924208
Silty clay loam,,102168687,103924133
Silty clay loam,,102168689,103923633
Silt loam,,102168620,103923751
Silty clay loam,,102168639,103924602
Silty clay loam,,102168640,103924603
Silty clay,,102168641,103923608
Silt loam,,102168642,103924207
Silty clay loam,,102168643,103923610
Silt loam,,102168644,103923752
Silty clay loam,,102168645,103923753
Silty clay loam,,102168690,103924232
Silty clay,,102168691,103923634
Silty clay loam,,102168692,103923778
Silt loam,,102168693,103923779
Silt loam,,102168694,103924231
Silty clay loam,,102168686,103924854
Silt loam,,102168688,103924428
