cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Soybeans,Bu,50,56,64,NA,NA,NA,244911,13211030
Oats,Bu,82,91,104,NA,NA,NA,244911,13211031
Winter wheat,Bu,60,67,75,NA,NA,NA,244911,13211032
Grass-legume hay,Tons,4.76,5.31,6,NA,NA,NA,244911,13211033
Grass-legume pasture,AUM,7.8,8.85,10,NA,NA,NA,244911,13211034
Corn,Bu,157,175,200,NA,NA,NA,244911,13211035
Corn,Bu,153,170,192,NA,NA,NA,244915,13211195
Oats,Bu,79,88,99,NA,NA,NA,244915,13211196
Soybeans,Bu,50,56,63,NA,NA,NA,244915,13211197
Winter wheat,Bu,59,65,74,NA,NA,NA,244915,13211198
Corn silage,Tons,25,28.9,32.6,NA,NA,NA,244915,13211199
Grass-legume hay,Tons,4.3,5.1,5.8,NA,NA,NA,244915,13211200
Grass-legume pasture,AUM,4.5,8.5,9.7,NA,NA,NA,244915,13211201
Corn,Bu,150,166,189,NA,NA,NA,244917,13211183
Oats,Bu,82,88,101,NA,NA,NA,244917,13211184
Winter wheat,Bu,62,66,74,NA,NA,NA,244917,13211185
Soybeans,Bu,49,52,59,NA,NA,NA,244917,13211186
Grass-legume pasture,AUM,8.75,9.88,11.3,NA,NA,NA,244917,13211187
Grass-legume hay,Tons,5.41,5.87,6.8,NA,NA,NA,244917,13211188
