pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
1,,,Loess,,12654735,17735463
2,Loamy,stratified,Outwash,,12654735,17735464
NA,,Peoria,Loess,,12654736,17735465
NA,,Peoria,Loess,,12654737,17735466
NA,,Peoria,Loess,,12654738,17735467
NA,,Peoria,Loess,,12654739,17735468
NA,,,Loess,,12654740,17735469
NA,,,Loess,,12654849,17735598
NA,,,Loess,,12654850,17735599
NA,,,Loess,,12654851,17735600
NA,,,Loess,,12654852,17735601
NA,,Peoria,Loess,,12654853,17735602
NA,,,Loess,,12654859,17735608
NA,,,Loess,,12654860,17735609
NA,,,Loess,,12654861,17735610
1,,,Loess,,12654862,17735611
2,Loamy,stratified,Outwash,,12654862,17735612
NA,,,Loess,,12654863,17735613
