shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Concave,Linear,26530183,15413439
Concave,Concave,26530185,15413440
Linear,Linear,26530187,15413441
Linear,Linear,26530189,15413442
Concave,Linear,26530217,15413456
Convex,Convex,26530243,15413390
Concave,Linear,26530261,15413399
Convex,Convex,26530263,15413400
Linear,Linear,26530265,15413401
Linear,Linear,26530267,15413402
Linear,Linear,26530275,15413407
Linear,Linear,26530291,15413415
Convex,Convex,26530293,15413416
Concave,Concave,26530295,15413417
Concave,Linear,26530297,15413418
Concave,Concave,26530298,15413422
Concave,Concave,26530300,15413419
