structgrpname,rvindicator,chkey,chstructgrpkey
weak fine granular structure,Yes,51132049,27239496
moderate fine prismatic structure parts to moderate fine angular blocky structure,Yes,51132050,27239497
weak coarse subangular blocky structure,Yes,51132051,27239498
structureless massive structure,Yes,51132052,27239934
moderate medium granular structure,Yes,51132053,27239483
moderate fine subangular blocky structure,No ,51132053,27239484
moderate fine subangular blocky structure,No ,51132054,27239487
moderate medium subangular blocky structure,Yes,51132054,27239488
moderate medium subangular blocky structure,Yes,51132055,27239485
weak medium subangular blocky structure,Yes,51132056,27239486
massive,Yes,51132057,27239499
weak fine granular structure,Yes,51132058,27239492
weak thick platy structure parts to moderate thin platy structure,Yes,51132059,27239493
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51132060,27239494
structureless massive structure,Yes,51132061,27239495
moderate fine granular structure,Yes,51132062,27239489
moderate medium subangular blocky structure,Yes,51132063,27239490
massive,Yes,51132064,27239491
weak medium prismatic structure parts to weak medium angular blocky structure,Yes,51132065,27239689
moderate fine granular structure,Yes,51132066,27239686
moderate medium subangular blocky structure,Yes,51132067,27239687
massive,Yes,51132068,27239688
weak fine granular structure,Yes,51132385,27239578
weak thick platy structure parts to moderate thin platy structure,Yes,51132386,27239579
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51132387,27239580
structureless massive structure,Yes,51132388,27239581
moderate fine granular structure,Yes,51132389,27239769
moderate medium subangular blocky structure,Yes,51132390,27239770
massive,Yes,51132391,27239771
weak medium prismatic structure parts to weak medium angular blocky structure,Yes,51132392,27239577
moderate fine granular structure,Yes,51132393,27239574
moderate medium subangular blocky structure,Yes,51132394,27239575
massive,Yes,51132395,27239576
moderate medium subangular blocky structure,Yes,51132396,27239618
massive,Yes,51132397,27239619
moderate fine granular structure,Yes,51132398,27239582
weak coarse prismatic structure parts to moderate medium angular blocky structure,Yes,51132399,27239583
weak medium prismatic structure parts to moderate medium angular blocky structure,Yes,51132400,27239617
moderate medium granular structure,Yes,51132401,27239620
moderate fine subangular blocky structure,No ,51132401,27239621
massive,Yes,51132402,27239622
moderate medium subangular blocky structure,Yes,51132403,27239623
moderate fine subangular blocky structure,No ,51132403,27239624
moderate medium subangular blocky structure,Yes,51132404,27239625
weak medium subangular blocky structure,Yes,51132405,27239626
weak medium prismatic structure parts to weak medium angular blocky structure,Yes,51132427,27239782
moderate fine granular structure,Yes,51132428,27239779
moderate medium subangular blocky structure,Yes,51132429,27239780
massive,Yes,51132430,27239781
weak coarse prismatic structure parts to moderate medium angular blocky structure,Yes,51132431,27239401
weak medium prismatic structure parts to moderate medium angular blocky structure,Yes,51132432,27239402
moderate medium subangular blocky structure,Yes,51132433,27239403
massive,Yes,51132434,27239404
moderate fine granular structure,Yes,51132435,27239400
