reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Abrupt textural change,Noncemented,33,41,56,NA,NA,NA,NA,NA,NA,17501926,4822581
Abrupt textural change,Noncemented,33,41,56,NA,NA,NA,NA,NA,NA,17502039,4822572
