aashtocl,rvindicator,chkey,chaashtokey
A-7-6,No ,51132049,83635711
A-7-5,Yes,51132049,83635712
A-6,No ,51132050,83635713
A-7-6,Yes,51132050,83635714
A-6,Yes,51132051,83635715
A-7-6,No ,51132051,83635716
A-4,No ,51132051,83635717
A-4,No ,51132052,83635718
A-6,Yes,51132052,83635719
A-7-6,No ,51132052,83635720
A-7-6,Yes,51132053,83635721
A-7-5,No ,51132053,83635722
A-6,No ,51132053,83635723
A-6,No ,51132054,83635724
A-7-6,Yes,51132054,83635725
A-7-6,Yes,51132055,83635726
A-6,No ,51132055,83635727
A-6,Yes,51132056,83635728
A-7-6,No ,51132056,83635729
A-6,Yes,51132057,83635730
A-4,No ,51132057,83635731
A-6,Yes,51132058,83635732
A-7-6,No ,51132058,83635733
A-6,Yes,51132059,83635734
A-4,No ,51132059,83635735
A-7-6,Yes,51132060,83635736
A-6,No ,51132061,83635737
A-7-6,Yes,51132061,83635738
A-7-6,Yes,51132062,83635739
A-6,No ,51132062,83635740
A-7-6,Yes,51132063,83635741
A-6,No ,51132063,83635742
A-6,Yes,51132064,83635743
A-7-6,No ,51132064,83635744
A-6,Yes,51132065,83635745
A-7-5,No ,51132066,83635746
A-7-6,Yes,51132066,83635747
A-7-6,Yes,51132067,83635748
A-6,No ,51132067,83635749
A-6,Yes,51132068,83635750
A-6,Yes,51132385,83636348
A-7-6,No ,51132385,83636349
A-6,Yes,51132386,83636350
A-4,No ,51132386,83636351
A-7-6,Yes,51132387,83636352
A-6,No ,51132388,83636353
A-7-6,Yes,51132388,83636354
A-7-6,Yes,51132389,83636355
A-6,No ,51132389,83636356
A-7-6,Yes,51132390,83636357
A-6,No ,51132390,83636358
A-6,Yes,51132391,83636359
A-7-6,No ,51132391,83636360
A-6,Yes,51132392,83636361
A-7-5,No ,51132393,83636362
A-7-6,Yes,51132393,83636363
A-7-6,Yes,51132394,83636364
A-6,No ,51132394,83636365
A-6,Yes,51132395,83636366
A-6,No ,51132396,83636367
A-7-6,Yes,51132396,83636368
A-4,No ,51132397,83636369
A-6,Yes,51132397,83636370
A-7-6,Yes,51132398,83636371
A-4,No ,51132398,83636372
A-6,No ,51132399,83636373
A-7-6,Yes,51132399,83636374
A-7-6,Yes,51132400,83636375
A-7-5,No ,51132401,83636376
A-6,No ,51132401,83636377
A-7-6,Yes,51132401,83636378
A-4,No ,51132402,83636379
A-6,Yes,51132402,83636380
A-6,No ,51132403,83636381
A-7-6,Yes,51132403,83636382
A-7-6,Yes,51132404,83636383
A-6,No ,51132404,83636384
A-7-6,No ,51132405,83636385
A-6,Yes,51132405,83636386
A-6,Yes,51132427,83636426
A-7-5,No ,51132428,83636427
A-7-6,Yes,51132428,83636428
A-7-6,Yes,51132429,83636429
A-6,No ,51132429,83636430
A-6,Yes,51132430,83636431
A-6,No ,51132431,83636432
A-7-6,Yes,51132431,83636433
A-7-6,Yes,51132432,83636434
A-6,No ,51132433,83636435
A-7-6,Yes,51132433,83636436
A-6,Yes,51132434,83636437
A-4,No ,51132434,83636438
A-7-6,Yes,51132435,83636439
A-4,No ,51132435,83636440
