comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
0,1,1,Drummer,Series,No ,,,0,0.5,2,15,61,122,,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,153,230,310,360,0,0,"drainageways, swales, uplands",NA,0.16,NA,8.9,11.1,13.3,864,928,991,NA,NA,NA,150,170,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244911,17501924
85,90,100,Muscatune,Series,Yes,,,0,1,2,30,76,122,,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,155,234,313,360,0,0,"ground moraines, till plains",NA,0.16,NA,8.9,11.1,13.3,864,928,991,NA,NA,NA,150,170,190,1,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-silty, mixed, superactive, mesic Aquic Argiudolls",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine-silty,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244911,17501925
0,1,2,Denny,Series,No ,,,0,0.5,2,15,30,61,,3,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,151,228,308,360,0,0,"depressions, till plains",NA,0.23,NA,8.9,11.1,13.3,864,928,991,NA,NA,NA,150,170,190,3,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, smectitic, mesic Mollic Albaqualfs",Alfisols,Aqualfs,Albaqualfs,Mollic Albaqualfs,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244911,17501926
0,1,2,Edgington,Series,No ,,,0,0.5,2,NA,NA,NA,,NA,NA,,,,,,Yes,Poorly drained,153,230,310,360,0,0,depressions on till plains,NA,NA,NA,NA,NA,NA,864,928,991,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244911,17501927
0,2,5,Osco,Series,No ,,,2,3,5,15,61,152,,5,48,6,Class 1,Crop cover,Row crop,,No,Well drained,160,240,315,360,0,0,"ground moraines, till plains",NA,0.23,NA,8.9,11.1,13.3,864,928,991,NA,NA,NA,150,170,190,2,e,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Argiudolls",Mollisols,Udolls,Argiudolls,Typic Argiudolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244911,17501928
0,5,5,Sable,Series,No ,,,0,0.5,2,15,61,122,,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,153,230,310,0,260,360,"swales, till plains",NA,0.16,NA,8.9,11.1,13.3,864,928,991,NA,NA,NA,150,170,190,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244911,17501929
0,5,6,Muscatune,Series,No ,,,0,0.9,2,NA,NA,NA,,NA,NA,,,,,,No,Somewhat poorly drained,196,219,241,0,200,360,"ground moraines, till plains",NA,NA,NA,7.8,10,12.2,760,890,1020,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244915,17502049
85,85,100,Sable,Series,Yes,,,0,0.5,2,15,61,122,,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,195,218,345,0,260,360,"swales, till plains",NA,0.16,NA,7.8,10,12.2,760,890,1020,NA,NA,NA,140,163,185,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244915,17502050
0,5,7,Ipava,Series,No ,,,0,0.9,2,15,66,122,,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,196,219,241,0,300,360,"ground moraines, till plains",NA,0.16,NA,7.8,10,12.2,760,890,1020,NA,NA,NA,160,170,185,1,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C/D,Moderate,High,"Fine, smectitic, mesic Aquic Argiudolls",Mollisols,Udolls,Argiudolls,Aquic Argiudolls,fine,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244915,17502051
0,2,3,Elburn,Series,No ,,,0,1,2,NA,NA,NA,,NA,NA,,,,,,No,Somewhat poorly drained,196,219,345,0,200,360,"outwash plains, uplands",NA,NA,NA,7.8,10,12.2,760,890,1020,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,244915,17502052
