unifiedcl,rvindicator,chkey,chunifiedkey
CL,No ,51118630,96020335
ML,No ,51118630,96020336
CL-ML,Yes,51118630,96020337
CL,No ,51118631,96020338
CL-ML,Yes,51118631,96020339
ML,No ,51118631,96020340
CL,No ,51118632,96020341
ML,No ,51118632,96020342
CL-ML,Yes,51118632,96020343
CL,Yes,51118805,96020675
GM,No ,51118805,96020676
SC,No ,51118805,96020677
SM,No ,51118805,96020678
CL,Yes,51118807,96020679
CL,Yes,51118808,96020680
CL-ML,No ,51118808,96020681
ML,No ,51118809,96020682
CL,Yes,51118809,96020683
CL-ML,No ,51118809,96020684
