aashtocl,rvindicator,chkey,chaashtokey
A-4,Yes,51118630,83610114
A-4,Yes,51118631,83610115
A-4,Yes,51118632,83610116
A-2-4,No ,51118805,83610437
A-6,Yes,51118805,83610438
A-4,Yes,51118807,83610439
A-6,No ,51118807,83610440
A-6,Yes,51118808,83610441
A-4,No ,51118808,83610442
A-6,Yes,51118809,83610443
A-4,No ,51118809,83610444
