soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
91,122,183,183,183,183,Wet,183635827,113892764
91,122,183,183,183,183,Wet,183635828,113892765
91,122,183,183,183,183,Wet,183635829,113892766
91,122,183,183,183,183,Wet,183635830,113892767
0,0,0,46,77,107,,183636295,113893183
46,77,107,107,145,183,Wet,183636295,113893184
107,145,183,183,183,183,,183636295,113893185
0,0,0,46,77,107,,183636296,113893186
46,77,107,107,145,183,Wet,183636296,113893187
107,145,183,183,183,183,,183636296,113893188
0,0,0,46,77,107,,183636297,113893189
46,77,107,107,145,183,Wet,183636297,113893190
107,145,183,183,183,183,,183636297,113893191
0,0,0,46,77,107,,183636298,113893192
46,77,107,107,145,183,Wet,183636298,113893193
107,145,183,183,183,183,,183636298,113893194
