structgrpname,rvindicator,chkey,chstructgrpkey
weak medium subangular blocky structure,Yes,51118630,27226808
weak fine granular structure,Yes,51118631,27226745
weak medium subangular blocky structure,Yes,51118632,27226746
weak medium platy structure,Yes,51118805,27226557
weak medium subangular blocky structure,Yes,51118807,27226554
moderate medium subangular blocky structure,Yes,51118808,27226555
moderate very coarse prismatic structure,Yes,51118809,27226556
