reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Fragipan,Weakly cemented,43,43,81,NA,NA,NA,NA,NA,NA,17497781,4821687
Lithic bedrock,Indurated,102,140,203,NA,NA,NA,NA,NA,NA,17497781,4821688
Paralithic bedrock,Strongly cemented,102,140,203,NA,NA,NA,NA,NA,NA,17497781,4821689
