musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
8072A,"Sharon silt loam, 0 to 3 percent slopes, occasionally flooded",Consociation,NA,4396,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,8072A,Order 2,NA,NA,NA,NA,NA,15372,606812
340C3,"Zanesville silt loam, 5 to 10 percent slopes, severely eroded",Consociation,NA,5746,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,0340C3,Order 2,NA,NA,NA,NA,NA,15372,608057
