texcl,lieutex,chtgkey,chtkey
Silt loam,,102144047,103900046
Silt loam,,102144048,103900675
Silt loam,,102144392,103900211
Silty clay loam,,102144393,103900522
Silt loam,,102144380,103900702
Silty clay loam,,102144381,103900703
Silt loam,,102144382,103900831
Clay loam,,102144383,103900759
Sandy clay loam,,102144384,103900832
Loam,,102144385,103900760
Loam,,102144386,103900131
Fine sandy loam,,102144387,103900132
Sandy clay loam,,102144388,103900133
,Bedrock,102144389,103900799
Silt loam,,102144049,103900676
Loam,,102144050,103900742
Sandy loam,,102144051,103900807
Silt loam,,102144390,103900210
Silty clay loam,,102144391,103899867
Silt loam,,102144394,103900365
Silty clay loam,,102144395,103900523
