musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
8072A,"Sharon silt loam, 0 to 3 percent slopes, occasionally flooded",NA,2,2,NA,122,122,Occasional,Occasional,0,5.75,10.99,20.99,30.99,Moderately well drained,Moderately well drained,B,NA,90,2,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.123,Slight,0,0.6,606812
340C3,"Zanesville silt loam, 5 to 10 percent slopes, severely eroded",NA,8,8,140,77,77,None,None,0,5.05,9.35,14.35,18.35,Moderately well drained,Moderately well drained,D,NA,90,4,90,Not limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.087,Moderate,0,1,608057
