plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
DIVI5,Diospyros virginiana,common persimmon,17497729,30004581
CAIL2,Carya illinoinensis,pecan,17497729,30004582
CARYA,Carya,hickory,17497729,30004583
JUNI,Juglans nigra,black walnut,17497729,30004584
QUAL,Quercus alba,white oak,17497729,30004585
QUPA5,Quercus pagoda,cherrybark oak,17497729,30004586
QUMA2,Quercus macrocarpa,bur oak,17497729,30004587
CARYA,Carya,hickory,17497781,30004918
QUAL,Quercus alba,white oak,17497781,30004919
QUFA,Quercus falcata,southern red oak,17497781,30004920
QUMU,Quercus muehlenbergii,chinkapin oak,17497781,30004921
QURU,Quercus rubra,northern red oak,17497781,30004922
QUVE,Quercus velutina,black oak,17497781,30004923
