pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Silty,,Alluvium,,12650620,17729757
1,,,Loess,,12650668,17729817
2,,,Residuum,,12650668,17729818
