areatypename,areasymbol,areaname,areaovacres,lkey,lareaovkey
County or Parish,IL151,Pope,239765,15372,399999
MLRA,134,Southern Mississippi Valley Loess,115141,15372,400000
MLRA,120A,"Kentucky and Indiana Sandstone and Shale Hills and Valleys, Southern Part",124624,15372,400001
Rainfall Factor Area (USLE),220,Rainfall Factor,239765,15372,400002
State or Territory,IL,Illinois,239765,15372,400003
