cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Corn,Bu,NA,148,NA,NA,NA,NA,606812,13201793
Soybeans,Bu,NA,48,NA,NA,NA,NA,606812,13201794
Winter wheat,Bu,NA,57,NA,NA,NA,NA,606812,13201795
Grass-legume hay,Tons,NA,4.3,NA,NA,NA,NA,606812,13201796
Grass-legume pasture,AUM,NA,6.3,NA,NA,NA,NA,606812,13201797
Corn,Bu,NA,83,NA,NA,NA,NA,608057,13201909
Soybeans,Bu,NA,28,NA,NA,NA,NA,608057,13201910
Winter wheat,Bu,NA,35,NA,NA,NA,NA,608057,13201911
Grass-legume hay,Tons,NA,2.6,NA,NA,NA,NA,608057,13201912
Grass-legume pasture,AUM,NA,3.7,NA,NA,NA,NA,608057,13201913
