geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,flood plains,,2,1,Yes,17497729,26522238
Landscape,valleys,,1,NA,Yes,17497729,26522239
Landform,hillslopes,,2,1,Yes,17497781,26522141
Landscape,uplands,,1,NA,Yes,17497781,26522142
