geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Side Slope,,,26522141,9713976
NA,Head Slope,,,26522141,9713977
NA,Nose Slope,,,26522141,9713978
