structgrpname,rvindicator,chkey,chstructgrpkey
moderate very coarse prismatic structure,Yes,51091950,27200311
moderate fine granular structure,Yes,51091951,27200307
moderate medium subangular blocky structure,Yes,51091952,27200308
weak coarse prismatic structure parting to moderate medium subangular blocky structure,Yes,51091953,27200309
moderate very coarse prismatic structure,Yes,51091954,27200310
moderate very coarse prismatic structure,Yes,51091955,27200453
weak medium subangular blocky structure,Yes,51091956,27200449
moderate medium subangular blocky structure,Yes,51091957,27200450
weak coarse prismatic structure parting to moderate medium subangular blocky structure,Yes,51091958,27200451
moderate very coarse prismatic structure,Yes,51091959,27200452
