musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
301B,"Grantsburg silt loam, 2 to 5 percent slopes",Consociation,NA,11469,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,0301B,Order 2,NA,NA,NA,NA,NA,11349,1145511
301C3,"Grantsburg silt loam, 5 to 10 percent slopes, severely eroded",Consociation,NA,11831,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,0301C3,Order 2,NA,NA,NA,NA,NA,11349,1145513
