plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
CARYA,Carya,hickory,17489279,29987092
QUAL,Quercus alba,white oak,17489279,29987093
QUFA,Quercus falcata,southern red oak,17489279,29987094
QUMU,Quercus muehlenbergii,chinkapin oak,17489279,29987095
QURU,Quercus rubra,northern red oak,17489279,29987096
QUVE,Quercus velutina,black oak,17489279,29987097
CARYA,Carya,hickory,17489280,29987098
QUAL,Quercus alba,white oak,17489280,29987099
QUFA,Quercus falcata,southern red oak,17489280,29987100
QUMU,Quercus muehlenbergii,chinkapin oak,17489280,29987101
QURU,Quercus rubra,northern red oak,17489280,29987102
QUVE,Quercus velutina,black oak,17489280,29987103
