aashtocl,rvindicator,chkey,chaashtokey
A-4,Yes,51091950,83557711
A-6,No ,51091950,83557712
A-4,Yes,51091951,83557713
A-6,No ,51091951,83557714
A-4,No ,51091952,83557715
A-6,Yes,51091952,83557716
A-7-6,No ,51091952,83557717
A-4,No ,51091953,83557718
A-7-6,Yes,51091953,83557719
A-6,Yes,51091954,83557720
A-7-6,No ,51091954,83557721
A-4,No ,51091954,83557722
A-4,Yes,51091955,83557723
A-6,No ,51091955,83557724
A-4,Yes,51091956,83557725
A-6,No ,51091956,83557726
A-4,No ,51091957,83557727
A-6,Yes,51091957,83557728
A-7-6,No ,51091957,83557729
A-6,No ,51091958,83557730
A-7-6,Yes,51091958,83557731
A-4,No ,51091958,83557732
A-4,No ,51091959,83557733
A-6,Yes,51091959,83557734
A-7-6,No ,51091959,83557735
