geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Interfluve,,,26504811,9704749
NA,,,,26504812,9704748
NA,Side Slope,,,26504976,9704837
NA,Head Slope,,,26504976,9704838
NA,Nose Slope,,,26504976,9704839
NA,,,,26504977,9704836
