musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
301B,"Grantsburg silt loam, 2 to 5 percent slopes",NA,4,4,NA,77,77,None,None,0,5.5,9.46,16.72,20.22,Moderately well drained,Moderately well drained,C,NA,90,2,90,Not limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.087,Moderate,0,1,1145511
301C3,"Grantsburg silt loam, 5 to 10 percent slopes, severely eroded",NA,8,8,NA,77,77,None,None,0,4.31,8.06,14.28,18.42,Moderately well drained,Moderately well drained,C,NA,90,4,90,Not limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.087,Moderate,0,1,1145513
