plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
QUAL,Quercus alba,white oak,,NA,70,NA,NA,NA,NA,17489279,24530662
QURU,Quercus rubra,northern red oak,,NA,71,NA,NA,NA,NA,17489279,24530663
QURU,Quercus rubra,northern red oak,,NA,53,NA,NA,NA,NA,17489280,24530664
QUAL,Quercus alba,white oak,,NA,52,NA,NA,NA,NA,17489280,24530665
