areatypename,areasymbol,areaname,areaovacres,lkey,lareaovkey
County or Parish,IL087,Johnson,223145,11349,399831
MLRA,120A,"Kentucky and Indiana Sandstone and Shale Hills and Valleys, Southern Part",223145,11349,399832
Rainfall Factor Area (USLE),220,Rainfall Factor,223145,11349,399833
State or Territory,IL,Illinois,223145,11349,399834
