soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,46,77,107,,183539591,113825760
46,77,107,107,145,183,Wet,183539591,113825761
107,145,183,183,183,183,,183539591,113825762
107,145,183,183,183,183,,183539592,113825763
0,0,0,46,77,107,,183539592,113825764
46,77,107,107,145,183,Wet,183539592,113825765
0,0,0,46,77,107,,183539593,113825766
46,77,107,107,145,183,Wet,183539593,113825767
107,145,183,183,183,183,,183539593,113825768
0,0,0,46,77,107,,183539594,113825769
46,77,107,107,145,183,Wet,183539594,113825770
107,145,183,183,183,183,,183539594,113825771
0,0,0,46,77,107,,183539603,113825772
46,77,107,107,145,183,Wet,183539603,113825773
107,145,183,183,183,183,,183539603,113825774
107,145,183,183,183,183,,183539604,113825775
0,0,0,46,77,107,,183539604,113825776
46,77,107,107,145,183,Wet,183539604,113825777
0,0,0,46,77,107,,183539605,113825778
46,77,107,107,145,183,Wet,183539605,113825779
107,145,183,183,183,183,,183539605,113825780
0,0,0,46,77,107,,183539606,113825781
46,77,107,107,145,183,Wet,183539606,113825782
107,145,183,183,183,183,,183539606,113825783
