geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,loess hills,,2,1,Yes,17489279,26504811
Landscape,uplands,,1,NA,Yes,17489279,26504812
Landform,loess hills,,2,1,Yes,17489280,26504976
Landscape,uplands,,1,NA,Yes,17489280,26504977
