cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Grain sorghum,Bu,NA,93,NA,NA,NA,NA,NA,NA,17489279,36255463
Soybeans,Bu,NA,41,NA,NA,NA,NA,NA,NA,17489279,36255464
Winter wheat,Bu,NA,50,NA,NA,NA,NA,NA,NA,17489279,36255465
Grass-legume hay,Tons,NA,2.91,NA,NA,NA,NA,NA,NA,17489279,36255466
Grass-legume pasture,AUM,NA,4.2,NA,NA,NA,NA,NA,NA,17489279,36255467
Corn,Bu,NA,119,NA,NA,NA,NA,NA,NA,17489279,36255468
Corn,Bu,NA,89,NA,NA,NA,NA,NA,NA,17489280,36255469
Soybeans,Bu,NA,30,NA,NA,NA,NA,NA,NA,17489280,36255470
Winter wheat,Bu,NA,37,NA,NA,NA,NA,NA,NA,17489280,36255471
Grass-legume hay,Tons,NA,2.2,NA,NA,NA,NA,NA,NA,17489280,36255472
Grass-legume pasture,AUM,NA,3.1,NA,NA,NA,NA,NA,NA,17489280,36255473
Grain sorghum,Bu,NA,70,NA,NA,NA,NA,NA,NA,17489280,36255474
