pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
2,,Roxana,Loess,,12642470,17717731
3,,residuum,,,12642470,17717732
1,,Peoria,Loess,,12642470,17717733
1,,Peoria,Loess,,12642471,17717734
2,,Roxana,Loess,,12642471,17717735
3,,residuum,,,12642471,17717736
