structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Moderate,Fine,Granular,NA,NA,27200307,33256073
Moderate,Medium,Subangular blocky,NA,NA,27200308,33256074
Moderate,Medium,Subangular blocky,2,NA,27200309,33256075
Weak,Coarse,Prismatic,1,2,27200309,33256076
Moderate,Very coarse,Prismatic,NA,NA,27200310,33256077
Moderate,Very coarse,Prismatic,NA,NA,27200311,33256078
Weak,Medium,Subangular blocky,NA,NA,27200449,33256221
Moderate,Medium,Subangular blocky,NA,NA,27200450,33256222
Weak,Coarse,Prismatic,1,2,27200451,33256223
Moderate,Medium,Subangular blocky,2,NA,27200451,33256224
Moderate,Very coarse,Prismatic,NA,NA,27200452,33256225
Moderate,Very coarse,Prismatic,NA,NA,27200453,33256226
