site,year,crop,rotation,NR,sd_buac
Ames,1999,corn,CC,0,22.84
Ames,1999,corn,CC,60,23.46
Ames,1999,corn,CC,120,21.43
Ames,1999,corn,CC,180,4.12
Ames,1999,corn,CC,240,10.97
Ames,1999,soybean,SC,0,4.47
Ames,1999,soybean,SC,60,6.89
Ames,1999,soybean,SC,120,6.29
Ames,1999,soybean,SC,180,4.29
Ames,1999,soybean,SC,240,7.47
Ames,2000,corn,CC,0,14.65
Ames,2000,corn,CC,60,6.68
Ames,2000,corn,CC,120,5.13
Ames,2000,corn,CC,180,6.64
Ames,2000,corn,CC,240,10.66
Ames,2000,corn,SC,0,14.92
Ames,2000,corn,SC,60,8.73
Ames,2000,corn,SC,120,17.02
Ames,2000,corn,SC,180,8.12
Ames,2000,corn,SC,240,10.8
Ames,2000,soybean,SC,0,2.44
Ames,2000,soybean,SC,60,2.15
Ames,2000,soybean,SC,120,4.13
Ames,2000,soybean,SC,180,2.6
Ames,2000,soybean,SC,240,1.61
Ames,2001,corn,CC,0,10.6
Ames,2001,corn,CC,60,7.4
Ames,2001,corn,CC,120,18.73
Ames,2001,corn,CC,180,10.27
Ames,2001,corn,CC,240,8.53
Ames,2001,corn,SC,0,8.29
Ames,2001,corn,SC,60,5.19
Ames,2001,corn,SC,120,3.51
Ames,2001,corn,SC,180,7.58
Ames,2001,corn,SC,240,8.81
Ames,2001,soybean,SC,0,4.06
Ames,2001,soybean,SC,60,6.66
Ames,2001,soybean,SC,120,5.67
Ames,2001,soybean,SC,180,4.78
Ames,2001,soybean,SC,240,6.64
Ames,2002,corn,CC,0,14.08
Ames,2002,corn,CC,60,3.36
Ames,2002,corn,CC,120,10.6
Ames,2002,corn,CC,180,15.34
Ames,2002,corn,CC,240,2.34
Ames,2002,corn,SC,0,32.48
Ames,2002,corn,SC,60,14.87
Ames,2002,corn,SC,120,10.87
Ames,2002,corn,SC,180,15.02
Ames,2002,corn,SC,240,11.42
Ames,2002,soybean,SC,0,4.48
Ames,2002,soybean,SC,60,4.42
Ames,2002,soybean,SC,120,2.62
Ames,2002,soybean,SC,180,3.12
Ames,2002,soybean,SC,240,2.09
Ames,2003,corn,CC,0,10.59
Ames,2003,corn,CC,60,6.09
Ames,2003,corn,CC,120,14.97
Ames,2003,corn,CC,180,13.75
Ames,2003,corn,CC,240,9.19
Ames,2003,corn,SC,0,8.17
Ames,2003,corn,SC,60,7.29
Ames,2003,corn,SC,120,7.78
Ames,2003,corn,SC,180,12.67
Ames,2003,corn,SC,240,11.11
Ames,2003,soybean,SC,0,3.27
Ames,2003,soybean,SC,60,8.02
Ames,2003,soybean,SC,120,3.12
Ames,2003,soybean,SC,180,2.39
Ames,2003,soybean,SC,240,2.86
Ames,2004,corn,CC,0,4.25
Ames,2004,corn,CC,60,7.64
Ames,2004,corn,CC,120,8.05
Ames,2004,corn,CC,180,5.79
Ames,2004,corn,CC,240,12.71
Ames,2004,corn,SC,0,34.21
Ames,2004,corn,SC,60,18.68
Ames,2004,corn,SC,120,6.1
Ames,2004,corn,SC,180,15.07
