musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
17A,"Keomah silt loam, 0 to 2 percent slopes",NA,0.9,1,NA,38,38,None,None,5,5.23,9.67,18.48,28.08,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,2,96,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.823,Slight,5,0.949,200948
257A,"Clarksdale silt loam, 0 to 2 percent slopes",NA,0.9,1.1,NA,38,38,None,None,4,5.43,10.21,18.66,28.13,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.84,Slight,4,0.969,200955
699A,"Timewell silt loam, 0 to 2 percent slopes",NA,0.9,0.9,NA,46,46,None,None,10,5.66,10.82,19.68,29.18,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,90,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.492,Slight,10,1,201116
