taxminalogy,cokey,cotaxfmminkey
smectitic,17497445,13765633
smectitic,17497446,13765634
smectitic,17497447,13765635
smectitic,17497500,13765679
mixed,17497502,13765680
smectitic,17497503,13765681
smectitic,17497504,13765682
mixed,17497519,13765695
mixed,17497520,13765696
smectitic,17497522,13765697
smectitic,17497523,13765698
