structgrpname,rvindicator,chkey,chstructgrpkey
massive,Yes,51117781,27226150
moderate fine granular structure,Yes,51117782,27226151
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51117783,27226152
moderate fine granular structure,Yes,51117784,27226110
weak medium platy structure,Yes,51117785,27226113
moderate medium subangular blocky structure,Yes,51117786,27226112
moderate medium subangular blocky structure,Yes,51117787,27226111
weak coarse prismatic structure,Yes,51117788,27226109
weak fine granular structure,Yes,51117789,27226146
weak thick platy structure parts to moderate thin platy structure,Yes,51117790,27226147
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51117791,27226148
structureless massive structure,Yes,51117792,27226149
massive,Yes,51117938,27226034
moderate fine granular structure,Yes,51117939,27226035
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51117940,27226036
moderate fine granular structure,Yes,51117941,27226025
weak medium platy structure,Yes,51117942,27226026
moderate medium subangular blocky structure,Yes,51117943,27226027
massive,Yes,51117944,27226028
weak medium subangular blocky structure,Yes,51117945,27226029
moderate medium granular structure,Yes,51117946,27226048
moderate medium subangular blocky structure,Yes,51117947,27226050
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51117948,27226278
massive,Yes,51117949,27226051
moderate medium platy structure parts to moderate very fine subangular blocky structure,Yes,51117950,27226049
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51117951,27226032
structureless massive structure,Yes,51117952,27226033
weak fine granular structure,Yes,51117953,27226030
weak thick platy structure parts to moderate thin platy structure,Yes,51117954,27226031
weak medium prismatic structure parts to weak medium angular blocky structure,Yes,51117997,27226018
moderate fine granular structure,Yes,51117998,27226015
moderate medium subangular blocky structure,Yes,51117999,27226016
massive,Yes,51118000,27226017
weak medium platy structure,Yes,51118001,27226128
moderate medium subangular blocky structure,Yes,51118002,27226129
weak medium subangular blocky structure,Yes,51118003,27226130
moderate fine granular structure,Yes,51118004,27226131
massive,Yes,51118005,27226132
weak fine granular structure,Yes,51118006,27226138
weak thick platy structure parts to moderate thin platy structure,Yes,51118007,27226139
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51118008,27226140
structureless massive structure,Yes,51118009,27226141
massive,Yes,51118010,27225863
moderate medium subangular blocky structure,No ,51118011,27225857
moderate fine subangular blocky structure,Yes,51118011,27225858
moderate medium prismatic structure parts to moderate medium subangular blocky structure,No ,51118011,27225859
weak fine granular structure,Yes,51118012,27225851
moderate fine granular structure,No ,51118012,27225852
weak very fine granular structure,No ,51118012,27225853
moderate medium platy structure,Yes,51118013,27225854
weak medium platy structure,No ,51118013,27225855
moderate thick platy structure parts to moderate very fine subangular blocky structure,No ,51118013,27225856
weak medium prismatic structure parts to moderate medium subangular blocky structure,No ,51118014,27225860
moderate medium subangular blocky structure,No ,51118014,27225861
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51118014,27225862
