desgnsuffix,chkey,chdesgnsfxkey
g,51117781,20152577
p,51117782,20152578
g,51117783,20152579
t,51117783,20152580
p,51117784,20152450
t,51117786,20152453
g,51117787,20152451
t,51117787,20152452
t,51117788,20152448
g,51117788,20152449
p,51117789,20152572
g,51117790,20152573
t,51117791,20152574
g,51117791,20152575
g,51117792,20152576
g,51117938,20152553
p,51117939,20152554
g,51117940,20152555
t,51117940,20152556
p,51117941,20152545
t,51117943,20152546
t,51117945,20152547
p,51117946,20152744
t,51117947,20152745
t,51117948,20152619
g,51117948,20152620
g,51117949,20152746
t,51117951,20152550
g,51117951,20152551
g,51117952,20152552
p,51117953,20152548
g,51117954,20152549
t,51117997,20152519
g,51117997,20152520
p,51117998,20152515
t,51117999,20152516
g,51117999,20152517
g,51118000,20152518
t,51118002,20152467
t,51118003,20152468
p,51118004,20152469
p,51118006,20152473
g,51118007,20152474
t,51118008,20152475
g,51118008,20152476
g,51118009,20152477
g,51118010,20152730
t,51118011,20152727
p,51118012,20152726
g,51118014,20152728
t,51118014,20152729
