aashtocl,rvindicator,chkey,chaashtokey
A-6,No ,51117781,83608455
A-7-6,Yes,51117781,83608456
A-7-5,No ,51117782,83608457
A-7-6,Yes,51117782,83608458
A-7-6,Yes,51117783,83608459
A-7-6,Yes,51117784,83608460
A-4,No ,51117784,83608461
A-6,Yes,51117785,83608462
A-7-6,No ,51117785,83608463
A-4,No ,51117785,83608464
A-7-6,Yes,51117786,83608465
A-6,No ,51117787,83608466
A-7-6,Yes,51117787,83608467
A-6,Yes,51117788,83608468
A-7-6,No ,51117788,83608469
A-6,Yes,51117789,83608470
A-7-6,No ,51117789,83608471
A-6,Yes,51117790,83608472
A-4,No ,51117790,83608473
A-7-6,Yes,51117791,83608474
A-6,No ,51117792,83608475
A-7-6,Yes,51117792,83608476
A-6,No ,51117938,83608765
A-7-6,Yes,51117938,83608766
A-7-5,No ,51117939,83608767
A-7-6,Yes,51117939,83608768
A-7-6,Yes,51117940,83608769
A-7-6,No ,51117941,83608770
A-4,No ,51117941,83608771
A-6,Yes,51117941,83608772
A-4,No ,51117942,83608773
A-6,Yes,51117942,83608774
A-6,No ,51117943,83608775
A-7-6,Yes,51117943,83608776
A-6,Yes,51117944,83608777
A-6,Yes,51117945,83608778
A-7-6,No ,51117945,83608779
A-6,Yes,51117946,83608780
A-7-6,No ,51117946,83608781
A-4,No ,51117946,83608782
A-7-6,Yes,51117947,83608783
A-6,No ,51117948,83608784
A-7-6,Yes,51117948,83608785
A-6,Yes,51117949,83608786
A-4,No ,51117949,83608787
A-4,No ,51117950,83608788
A-6,Yes,51117950,83608789
A-7-6,Yes,51117951,83608790
A-6,No ,51117952,83608791
A-7-6,Yes,51117952,83608792
A-6,Yes,51117953,83608793
A-7-6,No ,51117953,83608794
A-6,Yes,51117954,83608795
A-4,No ,51117954,83608796
A-6,Yes,51117997,83608876
A-7-5,No ,51117998,83608877
A-7-6,Yes,51117998,83608878
A-7-6,Yes,51117999,83608879
A-6,No ,51117999,83608880
A-6,Yes,51118000,83608881
A-4,No ,51118001,83608882
A-6,Yes,51118001,83608883
A-6,No ,51118002,83608884
A-7-6,Yes,51118002,83608885
A-6,Yes,51118003,83608886
A-7-6,No ,51118003,83608887
A-4,No ,51118004,83608888
A-6,Yes,51118004,83608889
A-7-6,No ,51118004,83608890
A-6,Yes,51118005,83608891
A-6,Yes,51118006,83608892
A-7-6,No ,51118006,83608893
A-6,Yes,51118007,83608894
A-4,No ,51118007,83608895
A-7-6,Yes,51118008,83608896
A-6,No ,51118009,83608897
A-7-6,Yes,51118009,83608898
A-6,Yes,51118010,83608899
A-4,No ,51118010,83608900
A-7-6,No ,51118010,83608901
A-7-6,Yes,51118011,83608902
A-6,No ,51118011,83608903
A-6,No ,51118012,83608904
A-4,Yes,51118012,83608905
A-6,Yes,51118013,83608906
A-4,No ,51118013,83608907
A-6,No ,51118014,83608908
A-7-6,Yes,51118014,83608909
