comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
0,1,2,Sable,Series,No ,,,0,0.5,2,15,61,122,,5,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,181,201,221,0,260,360,"swales, till plains",NA,0.16,NA,10.5,11.9,13.3,914,940,1016,NA,NA,NA,165,180,190,2,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls,fine-silty,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200948,17497519
0,5,7,Rozetta,Series,No ,,,2,4,5,15,46,122,,5,56,5,Class 1,Crop cover,Row crop,,No,Well drained,183,206,228,0,135,360,"ground moraines, till plains",NA,0.3,NA,10.5,11.9,13.3,914,940,1016,NA,NA,NA,165,180,190,2,e,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200948,17497520
0,2,3,Rushville,Series,No ,,,0,0.5,2,NA,NA,NA,,NA,NA,,,,,Farmable under natural conditions,Yes,Poorly drained,181,201,221,0,260,360,"depressions, till plains",NA,NA,NA,NA,NA,NA,914,940,1016,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,,,,,,,,,,,,,,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200948,17497521
0,2,3,Denny,Series,No ,,,0,0.5,2,30,67,122,,3,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,180,201,220,0,260,360,"depressions, till plains",NA,0.23,NA,10.5,11.9,13.3,914,940,1016,NA,NA,NA,165,180,190,3,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, smectitic, mesic Mollic Albaqualfs",Alfisols,Aqualfs,Albaqualfs,Mollic Albaqualfs,fine,not used,not used,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200948,17497522
85,90,100,Keomah,Series,Yes,,,0,0.9,2,15,46,122,,5,56,5,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,183,203,223,0,135,360,"ground moraines, till plains",NA,0.3,NA,10.5,11.9,13.3,914,940,1016,NA,NA,NA,165,180,190,2,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, smectitic, mesic Aeric Endoaqualfs",Alfisols,Aqualfs,Endoaqualfs,Aeric Endoaqualfs,fine,not used,not used,not used,mesic,Aeric,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200948,17497523
0,2,3,Virden,Series,No ,,,0,0.5,2,23,73,122,,5,48,6,Class 1,Crop cover,Row crop,,Yes,Poorly drained,153,201,257,0,135,360,"till plains, -- Error in Exists On --",NA,0.16,NA,10,11.7,13.3,914,965,1016,NA,NA,NA,170,180,190,2,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine, smectitic, mesic Vertic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Vertic Argiaquolls,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200955,17497500
0,3,4,Greenbush,Series,No ,,,2,4,5,NA,NA,NA,,NA,NA,,,,,,No,Well drained,158,206,260,NA,NA,NA,"ground moraines, till plains",NA,NA,NA,NA,NA,NA,914,965,1016,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200955,17497501
0,3,5,Rozetta,Series,No ,,,2,4,5,15,46,122,,5,56,5,Class 1,Crop cover,Row crop,,No,Well drained,148,206,325,0,135,360,"ground moraines, till plains",NA,0.3,NA,10,11.7,13.3,914,965,1016,NA,NA,NA,170,180,190,2,e,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B,Moderate,High,"Fine-silty, mixed, superactive, mesic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-silty,not used,superactive,not used,mesic,Typic,mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200955,17497502
85,90,100,Clarksdale,Series,Yes,,,0,0.9,2,30,70,122,,5,56,5,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,156,203,258,NA,NA,NA,"ground moraines, till plains",NA,0.23,NA,10,11.7,13.3,914,965,1016,NA,NA,NA,170,180,190,1,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, smectitic, mesic Udollic Endoaqualfs",Alfisols,Aqualfs,Endoaqualfs,Udollic Endoaqualfs,fine,not used,not used,not used,mesic,Aeric,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200955,17497503
0,2,3,Denny,Series,No ,,,0,0.5,2,30,67,122,,3,48,6,None - deposition,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,152,200,256,0,260,360,"depressions, till plains",NA,0.23,NA,10,11.7,13.3,914,965,1016,NA,NA,NA,170,180,190,3,w,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, smectitic, mesic Mollic Albaqualfs",Alfisols,Aqualfs,Albaqualfs,Mollic Albaqualfs,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,200955,17497504
