pmgroupname,rvindicator,cokey,copmgrpkey
loess,Yes,17497445,12650335
loess,Yes,17497446,12650336
loess,Yes,17497447,12650337
loess,Yes,17497500,12650390
loess,Yes,17497501,12650391
loess,Yes,17497502,12650392
loess,Yes,17497503,12650393
loess,Yes,17497504,12650394
loess,Yes,17497519,12650409
loess,Yes,17497520,12650410
loess,Yes,17497521,12650411
loess,Yes,17497522,12650412
loess,Yes,17497523,12650413
