recdate,mapunittextkind,textcat,textsubcat,text,mukey,mutextkey
11/05/2013 00:00:00,Correlation notes,built or copied from,,"Copied Keomah component from dmu 141750, added to new dmu 700433.  Will edit to represent the Keomah silt loam, 0 to 2 percent slopes in MLRA 108A, 108B, 114B, and 115C, for SDJR.
RT 11/5/2013",200948,1968874
07/01/2014 00:00:00,Correlation notes,,,MLRA mapunit added to the legend as part of the SDJR Initiative.,200948,1968875
07/17/2015 00:00:00,Correlation notes,,,MLRA map unit added to the legend as part of the SDJR Initiative.,200955,1968878
09/02/2014 00:00:00,Correlation notes,built or copied from,,"Copied Clarksdale component from dmu 141777 and pasted into new dmu 739325.  Will edit to represent the Clarksdale silt loam, 0 to 2 percent slopes in MLRAs 108A, 108B, 114B, and 115C, for SDJR.
RT 09-02-2014",200955,1968879
03/19/2013 00:00:00,Correlation notes,built or copied from,,"Copied dmu 153691 to create dmu 700424.  Will edit to represent the Timewell silt loam, 0 to 2 percent slopes in MLRA 108B and 115C, for SDJR.
RT 03/19/2013",201116,1968966
08/26/2013 00:00:00,Correlation notes,,,MLRA mapunit added to the legend as part of the SDJR Initiative.,201116,1968967
