hillslopeprof,cogeomdkey,cosurfmorhppkey
Summit,26521848,10966531
Shoulder,26521848,10966532
Backslope,26521848,10966533
Toeslope,26521850,10966534
Toeslope,26521852,10966535
Toeslope,26521862,10966537
Summit,26521868,10966459
Summit,26521886,10966476
Summit,26521903,10966486
Summit,26521919,10966487
Summit,26521945,10966504
Shoulder,26521945,10966505
