texcl,lieutex,chtgkey,chtkey
Silty clay loam,,102142574,103898844
Silt loam,,102142584,103899123
Silty clay loam,,102142586,103899212
Silty clay,,102142587,103899213
Silty clay loam,,102142825,103898254
Silt loam,,102142828,103897641
Silty clay loam,,102142838,103898269
Silt loam,,102142839,103897660
Silt loam,,102142841,103897898
Silt loam,,102142572,103898843
Silty clay loam,,102142573,103899124
Silty clay loam,,102142575,103899125
Silty clay,,102142576,103898717
Silt loam,,102142582,103898849
Silty clay loam,,102142583,103899129
Silt loam,,102142585,103898842
Silt loam,,102142823,103897788
Silty clay loam,,102142824,103897789
Silty clay loam,,102142826,103897645
Silty clay,,102142827,103898255
Silt loam,,102142829,103898251
Silty clay loam,,102142836,103897899
Silty clay,,102142837,103898353
Silt loam,,102142840,103898048
Silt loam,,102142907,103897911
Silty clay loam,,102142908,103897912
Silty clay loam,,102142910,103897909
Silt loam,,102142919,103899223
Silty clay loam,,102142921,103899225
Silty clay,,102142922,103899226
Silt loam,,102142588,103899214
Silty clay loam,,102142589,103899215
Silty clay loam,,102142830,103897642
Silt loam,,102142831,103898562
Silty clay loam,,102142832,103898563
Silt loam,,102142833,103898564
Silty clay loam,,102142834,103898565
Silt loam,,102142835,103897897
Silt loam,,102142923,103899140
Silt loam,,102142577,103898850
Silt loam,,102142578,103899219
Silty clay loam,,102142579,103899217
Silty clay,,102142580,103899218
Silty clay loam,,102142581,103899216
Silty clay loam,,102142842,103897644
Silty clay,,102142843,103898253
Silt loam,,102142844,103897786
Silty clay loam,,102142845,103897787
Silt loam,,102142846,103897643
Silt loam,,102142847,103898252
Silt loam,,102142912,103899221
Silty clay loam,,102142913,103899222
Silt loam,,102142914,103899136
Silty clay loam,,102142915,103898856
Silt loam,,102142916,103899137
Silty clay loam,,102142909,103898056
Silt loam,,102142911,103897910
Silt loam,,102142917,103898857
Silty clay loam,,102142918,103898728
Silt loam,,102142920,103899224
Silty clay loam,,102142931,103898571
Silty clay loam,,102142924,103898860
Silt loam,,102142925,103898572
Silty clay loam,,102142926,103899205
Silty clay,,102142927,103897650
Silty clay loam,,102142928,103898570
Silt loam,,102142929,103898160
Silt loam,,102142930,103898472
