structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Fine,Granular,NA,NA,27225851,33285636
Moderate,Fine,Granular,NA,NA,27225852,33285637
Weak,Very fine,Granular,NA,NA,27225853,33285638
Moderate,Medium,Platy,NA,NA,27225854,33285639
Weak,Medium,Platy,NA,NA,27225855,33285640
Moderate,Thick,Platy,1,2,27225856,33285641
Moderate,Very fine,Subangular blocky,2,NA,27225856,33285642
Moderate,Medium,Subangular blocky,NA,NA,27225857,33285643
Moderate,Fine,Subangular blocky,NA,NA,27225858,33285644
Moderate,Medium,Prismatic,1,2,27225859,33285645
Moderate,Medium,Subangular blocky,2,NA,27225859,33285646
Weak,Medium,Prismatic,1,2,27225860,33285647
Moderate,Medium,Subangular blocky,2,NA,27225860,33285648
Moderate,Medium,Subangular blocky,NA,NA,27225861,33285649
Moderate,Medium,Prismatic,1,2,27225862,33285650
Moderate,Medium,Subangular blocky,2,NA,27225862,33285651
Weak,,Massive,NA,NA,27225863,33285652
Moderate,Fine,Granular,NA,NA,27226015,33285834
Moderate,Medium,Subangular blocky,NA,NA,27226016,33285835
,,Massive,NA,NA,27226017,33285836
Weak,Medium,Prismatic,1,2,27226018,33285837
Weak,Medium,Angular blocky,2,NA,27226018,33285838
Moderate,Fine,Granular,NA,NA,27226025,33285846
Weak,Medium,Platy,NA,NA,27226026,33285847
Moderate,Medium,Subangular blocky,NA,NA,27226027,33285848
,,Massive,NA,NA,27226028,33285849
Weak,Medium,Subangular blocky,NA,NA,27226029,33285850
Weak,Fine,Granular,NA,NA,27226030,33285851
Weak,Thick,Platy,1,2,27226031,33285852
Moderate,Thin,Platy,2,NA,27226031,33285853
Moderate,Medium,Subangular blocky,2,NA,27226032,33285854
Moderate,Medium,Prismatic,1,2,27226032,33285855
Structureless,,Massive,NA,NA,27226033,33285856
,,Massive,NA,NA,27226034,33285857
Moderate,Fine,Granular,NA,NA,27226035,33285858
Moderate,Medium,Prismatic,1,2,27226036,33285859
Moderate,Medium,Subangular blocky,2,NA,27226036,33285860
Moderate,Medium,Granular,NA,NA,27226048,33285876
Moderate,Very fine,Subangular blocky,2,NA,27226049,33285877
Moderate,Medium,Platy,1,2,27226049,33285878
Moderate,Medium,Subangular blocky,NA,NA,27226050,33285879
,,Massive,NA,NA,27226051,33285880
Weak,Coarse,Prismatic,NA,NA,27226109,33285949
Moderate,Fine,Granular,NA,NA,27226110,33285950
Moderate,Medium,Subangular blocky,NA,NA,27226111,33285951
Moderate,Medium,Subangular blocky,NA,NA,27226112,33285952
Weak,Medium,Platy,NA,NA,27226113,33285953
Weak,Medium,Platy,NA,NA,27226128,33285972
Moderate,Medium,Subangular blocky,NA,NA,27226129,33285973
Weak,Medium,Subangular blocky,NA,NA,27226130,33285974
Moderate,Fine,Granular,NA,NA,27226131,33285975
,,Massive,NA,NA,27226132,33285976
Weak,Fine,Granular,NA,NA,27226138,33285982
Weak,Thick,Platy,1,2,27226139,33285983
Moderate,Thin,Platy,2,NA,27226139,33285984
Moderate,Medium,Subangular blocky,2,NA,27226140,33285985
Moderate,Medium,Prismatic,1,2,27226140,33285986
Structureless,,Massive,NA,NA,27226141,33285987
Weak,Fine,Granular,NA,NA,27226146,33285993
Weak,Thick,Platy,1,2,27226147,33285994
Moderate,Thin,Platy,2,NA,27226147,33285995
Moderate,Medium,Subangular blocky,2,NA,27226148,33285996
Moderate,Medium,Prismatic,1,2,27226148,33285997
Structureless,,Massive,NA,NA,27226149,33285998
,,Massive,NA,NA,27226150,33285999
Moderate,Fine,Granular,NA,NA,27226151,33286000
Moderate,Medium,Prismatic,1,2,27226152,33286001
Moderate,Medium,Subangular blocky,2,NA,27226152,33286002
Moderate,Medium,Subangular blocky,2,NA,27226278,33286166
Moderate,Medium,Prismatic,1,2,27226278,33286167
