geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,swales,,NA,NA,Yes,17497519,26521836
Landscape,till plains,,NA,NA,Yes,17497519,26521837
Landform,ground moraines,,NA,NA,Yes,17497520,26521886
Landscape,till plains,,NA,NA,Yes,17497520,26521887
Landform,depressions,,NA,NA,Yes,17497521,26521905
Landscape,till plains,,NA,NA,Yes,17497521,26521906
Landform,depressions,,NA,NA,Yes,17497522,26521890
Landscape,till plains,,NA,NA,Yes,17497522,26521891
Landform,ground moraines,,NA,NA,Yes,17497523,26521903
Landscape,till plains,,NA,NA,Yes,17497523,26521904
Landform,ground moraines,,1,2,Yes,17497500,26521852
Landscape,till plains,,NA,NA,Yes,17497500,26521853
Landform,ground moraines,,NA,NA,Yes,17497501,26521945
Landscape,till plains,,NA,NA,Yes,17497501,26521946
Landform,ground moraines,,NA,NA,Yes,17497502,26521848
Landscape,till plains,,NA,NA,Yes,17497502,26521849
Landform,ground moraines,,NA,NA,Yes,17497503,26521919
Landscape,till plains,,NA,NA,Yes,17497503,26521920
Landform,depressions,,NA,NA,Yes,17497504,26521850
Landscape,till plains,,NA,NA,Yes,17497504,26521851
Landform,ground moraines,,1,2,Yes,17497445,26521862
Landscape,till plains,,NA,NA,Yes,17497445,26521863
Landform,ground moraines,broad,NA,NA,Yes,17497446,26521868
Landscape,till plains,,NA,NA,Yes,17497446,26521869
Landform,depressions,,NA,NA,Yes,17497447,26521860
Landscape,till plains,,NA,NA,Yes,17497447,26521861
