featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,25,58,61,25,58,61,17497445,8448940
Argillic horizon,25,41,61,102,124,151,41,83,126,17497445,8448941
Mollic epipedon,0,0,0,40,43,49,40,43,49,17497446,8448942
Argillic horizon,40,43,49,100,104,152,51,61,112,17497446,8448943
Ochric epipedon,0,0,0,18,23,23,18,23,23,17497447,8448944
Albic horizon,18,23,23,33,41,56,10,18,38,17497447,8448945
Argillic horizon,33,41,56,107,117,150,51,76,117,17497447,8448946
Mollic epipedon,0,0,0,25,58,61,25,58,61,17497500,8448978
Argillic horizon,25,41,61,102,124,151,41,83,126,17497500,8448979
Ochric epipedon,0,0,0,15,28,38,15,28,38,17497502,8448980
Albic horizon,8,18,20,27,28,38,7,10,30,17497502,8448981
Argillic horizon,27,28,38,96,140,152,58,112,125,17497502,8448982
Ochric epipedon,0,0,0,33,41,48,33,41,48,17497503,8448983
Argillic horizon,33,41,48,102,135,152,54,94,119,17497503,8448984
Ochric epipedon,0,0,0,18,23,23,18,23,23,17497504,8448985
Albic horizon,18,23,23,33,41,56,10,18,38,17497504,8448986
Argillic horizon,33,41,56,107,117,150,51,76,117,17497504,8448987
Mollic epipedon,0,0,0,31,58,61,31,58,61,17497519,8448999
Cambic horizon,31,58,61,94,119,152,33,61,121,17497519,8449000
Ochric epipedon,0,0,0,15,28,38,15,28,38,17497520,8449001
Albic horizon,8,18,20,27,28,38,7,10,30,17497520,8449002
Argillic horizon,27,28,38,96,140,152,58,112,125,17497520,8449003
Ochric epipedon,0,0,0,18,23,23,18,23,23,17497522,8449004
Albic horizon,18,23,23,33,41,56,10,18,38,17497522,8449005
Argillic horizon,33,41,56,107,117,150,51,76,117,17497522,8449006
Ochric epipedon,0,0,0,10,33,50,10,33,50,17497523,8449007
Argillic horizon,10,33,50,70,122,152,20,89,142,17497523,8449008
