cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Corn,Bu,133,146,161,NA,NA,NA,200948,13201376
Oats,Bu,64,71,83,NA,NA,NA,200948,13201377
Winter wheat,Bu,53,59,65,NA,NA,NA,200948,13201378
Soybeans,Bu,46,49,51,NA,NA,NA,200948,13201379
Grass-legume pasture,AUM,5.24,7.35,8.8,NA,NA,NA,200948,13201380
Grass-legume hay,Tons,4.16,4.99,5.2,NA,NA,NA,200948,13201381
Corn,Bu,138,153,174,NA,NA,NA,200955,13201350
Oats,Bu,70,79,89,NA,NA,NA,200955,13201351
Soybeans,Bu,44,49,56,NA,NA,NA,200955,13201352
Winter wheat,Bu,55,61,69,NA,NA,NA,200955,13201353
Grass-legume hay,Tons,4.18,4.69,5.3,NA,NA,NA,200955,13201354
Grass-legume pasture,AUM,6.96,7.8,8.83,NA,NA,NA,200955,13201355
Corn,Bu,146,163,185,NA,NA,NA,201116,13201232
Oats,Bu,78,83,95,NA,NA,NA,201116,13201233
Winter wheat,Bu,61,64,74,NA,NA,NA,201116,13201234
Soybeans,Bu,50,53,60,NA,NA,NA,201116,13201235
Grass-legume pasture,AUM,7.55,8.04,9.2,NA,NA,NA,201116,13201236
Grass-legume hay,Tons,4.55,4.9,5.5,NA,NA,NA,201116,13201237
