reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Abrupt textural change,Noncemented,33,41,56,NA,NA,NA,NA,NA,NA,17497447,4821625
Abrupt textural change,Noncemented,33,41,56,NA,NA,NA,NA,NA,NA,17497504,4821630
Abrupt textural change,Noncemented,23,33,48,23,33,48,0,0,7,17497521,4821633
Abrupt textural change,Noncemented,33,41,56,NA,NA,NA,NA,NA,NA,17497522,4821634
