pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,,,Loess,,12650335,17729426
NA,,,Loess,,12650336,17729427
NA,,,Loess,,12650337,17729428
NA,,,Loess,,12650390,17729486
NA,,,Loess,,12650391,17729487
NA,,,Loess,,12650392,17729488
NA,,,Loess,,12650393,17729489
NA,,,Loess,,12650394,17729490
NA,,,Loess,,12650409,17729506
NA,,,Loess,,12650410,17729507
NA,,,Loess,,12650411,17729508
NA,,,Loess,,12650412,17729509
NA,,,Loess,,12650413,17729510
