cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Corn silage,Tons,25,28.9,32.6,NA,NA,NA,NA,NA,17497519,36294048
Grass-legume hay,Tons,4.3,5.1,5.8,NA,NA,NA,NA,NA,17497519,36294049
Grass-legume pasture,AUM,4.5,8.5,9.7,NA,NA,NA,NA,NA,17497519,36294050
Corn,Bu,153,170,192,NA,NA,NA,NA,NA,17497519,36294051
Oats,Bu,79,88,99,NA,NA,NA,NA,NA,17497519,36294052
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17497519,36294053
Winter wheat,Bu,59,65,74,NA,NA,NA,NA,NA,17497519,36294054
Grass-legume hay,Tons,4.15,4.6,5.3,NA,NA,NA,NA,NA,17497520,36294055
Corn,Bu,129,144,162,NA,NA,NA,NA,NA,17497520,36294056
Grass-legume pasture,AUM,6.9,7.7,8.83,NA,NA,NA,NA,NA,17497520,36294057
Oats,Bu,66,73,83,NA,NA,NA,NA,NA,17497520,36294058
Soybeans,Bu,40,45,50,NA,NA,NA,NA,NA,17497520,36294059
Winter wheat,Bu,52,57,64,NA,NA,NA,NA,NA,17497520,36294060
Soybeans,Bu,41,46,52,NA,NA,NA,NA,NA,17497522,36294061
Winter wheat,Bu,51,57,64,NA,NA,NA,NA,NA,17497522,36294062
Oats,Bu,61,68,77,NA,NA,NA,NA,NA,17497522,36294063
Grass-legume hay,Tons,3.9,4.3,4.9,NA,NA,NA,NA,NA,17497522,36294064
Grass-legume pasture,AUM,6.5,7.2,8.2,NA,NA,NA,NA,NA,17497522,36294065
Corn,Bu,127,141,159,NA,NA,NA,NA,NA,17497522,36294066
Corn,Bu,129,143,161,NA,NA,NA,NA,NA,17497523,36294067
Soybeans,Bu,40,45,51,NA,NA,NA,NA,NA,17497523,36294068
Winter wheat,Bu,52,58,65,NA,NA,NA,NA,NA,17497523,36294069
Oats,Bu,66,73,83,NA,NA,NA,NA,NA,17497523,36294070
Grass-legume hay,Tons,4.1,4.6,5.2,NA,NA,NA,NA,NA,17497523,36294071
Grass-legume pasture,AUM,5.4,7.6,8.8,NA,NA,NA,NA,NA,17497523,36294072
Oats,Bu,74,82,94,NA,NA,NA,NA,NA,17497500,36293966
Corn,Bu,145,161,186,NA,NA,NA,NA,NA,17497500,36293967
Grass-legume hay,Tons,4.19,4.66,5.4,NA,NA,NA,NA,NA,17497500,36293968
Soybeans,Bu,47,52,60,NA,NA,NA,NA,NA,17497500,36293969
Grass-legume pasture,AUM,6.98,7.77,9,NA,NA,NA,NA,NA,17497500,36293970
Winter wheat,Bu,57,63,75,NA,NA,NA,NA,NA,17497500,36293971
Corn,Bu,129,144,162,NA,NA,NA,NA,NA,17497502,36293972
Oats,Bu,66,73,83,NA,NA,NA,NA,NA,17497502,36293973
Winter wheat,Bu,52,57,64,NA,NA,NA,NA,NA,17497502,36293974
Soybeans,Bu,40,45,50,NA,NA,NA,NA,NA,17497502,36293975
Grass-legume pasture,AUM,6.9,7.7,8.83,NA,NA,NA,NA,NA,17497502,36293976
Grass-legume hay,Tons,4.15,4.6,5.3,NA,NA,NA,NA,NA,17497502,36293977
Corn,Bu,139,154,174,NA,NA,NA,NA,NA,17497503,36293978
Soybeans,Bu,44,49,56,NA,NA,NA,NA,NA,17497503,36293979
Winter wheat,Bu,55,61,69,NA,NA,NA,NA,NA,17497503,36293980
Oats,Bu,71,79,89,NA,NA,NA,NA,NA,17497503,36293981
Grass-legume hay,Tons,4.19,4.7,5.3,NA,NA,NA,NA,NA,17497503,36293982
Grass-legume pasture,AUM,6.99,7.8,8.83,NA,NA,NA,NA,NA,17497503,36293983
Corn,Bu,127,141,159,NA,NA,NA,NA,NA,17497504,36293984
Soybeans,Bu,41,46,52,NA,NA,NA,NA,NA,17497504,36293985
Winter wheat,Bu,51,57,64,NA,NA,NA,NA,NA,17497504,36293986
Oats,Bu,61,68,77,NA,NA,NA,NA,NA,17497504,36293987
Grass-legume hay,Tons,3.9,4.3,4.9,NA,NA,NA,NA,NA,17497504,36293988
Grass-legume pasture,AUM,6.5,7.2,8.2,NA,NA,NA,NA,NA,17497504,36293989
Oats,Bu,74,82,94,NA,NA,NA,NA,NA,17497445,36293747
Corn,Bu,145,161,186,NA,NA,NA,NA,NA,17497445,36293748
Grass-legume hay,Tons,4.19,4.66,5.4,NA,NA,NA,NA,NA,17497445,36293749
Soybeans,Bu,47,52,60,NA,NA,NA,NA,NA,17497445,36293750
Grass-legume pasture,AUM,6.98,7.77,9,NA,NA,NA,NA,NA,17497445,36293751
Winter wheat,Bu,57,63,75,NA,NA,NA,NA,NA,17497445,36293752
Corn,Bu,148,164,185,NA,NA,NA,NA,NA,17497446,36293753
Soybeans,Bu,48,53,60,NA,NA,NA,NA,NA,17497446,36293754
Winter wheat,Bu,59,65,74,NA,NA,NA,NA,NA,17497446,36293755
Grass-legume hay,Tons,4.4,4.9,5.5,NA,NA,NA,NA,NA,17497446,36293756
Grass-legume pasture,AUM,7.3,8.1,9.2,NA,NA,NA,NA,NA,17497446,36293757
Oats,Bu,76,84,95,NA,NA,NA,NA,NA,17497446,36293758
Corn,Bu,127,141,159,NA,NA,NA,NA,NA,17497447,36293759
Soybeans,Bu,41,46,52,NA,NA,NA,NA,NA,17497447,36293760
Winter wheat,Bu,51,57,64,NA,NA,NA,NA,NA,17497447,36293761
Oats,Bu,61,68,77,NA,NA,NA,NA,NA,17497447,36293762
Grass-legume hay,Tons,3.9,4.3,4.9,NA,NA,NA,NA,NA,17497447,36293763
Grass-legume pasture,AUM,6.5,7.2,8.2,NA,NA,NA,NA,NA,17497447,36293764
