erokind,rvindicator,cokey,coeroacckey
Sheet erosion,Yes,17497445,1174887
Sheet erosion,Yes,17497446,1174892
Sheet erosion,Yes,17497500,1174885
Sheet erosion,Yes,17497502,1174884
Sheet erosion,Yes,17497503,1174896
Sheet erosion,Yes,17497520,1174913
Sheet erosion,Yes,17497523,1174937
